"Equipment","Model","S/N","Cal Date","Stations","Group"
"Rosette","36-place","Yellow","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"CTD","SBE9+",1281,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Pressure Sensor","Digiquartz",136428,"Dec 7, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",36049,"Mar 17, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Conductivity","SBE4C",43578,"Mar 22, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Pump","SBE5",51892,"–","|FIRST_STA|-196",":term:`STS`/:term:`ODF`"
"Primary Pump","SBE5",51781,"–","197-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Temperature","SBE3+",34138,"Mar 17, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Conductivity","SBE4C",42569,"Mar 17, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Pump","SBE5",53626,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Transmissometer","Cstar","1873DR","Jan 5, 2022","|FIRST_STA|-|LAST_STA|",":term:`TAMU`"
"Fluorometer Chlorophyll","WetLabs ECO-FL-RTD","4334","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Dissolved Oxygen","SBE43",431508,"Oct 8, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Oxygen Optode","JFE Advantech Rinko-III",0251,"Apr 7, 2017","|FIRST_STA|-|LAST_STA|",":term:`ODF`"
"Reference Temperature","SBE35",0105,"Mar 15, 2022","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","1178","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Altimeter","Valeport 500",53821,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"UVP","–",201,"–","|FIRST_STA|-|LAST_STA|",":term:`UAF`"
"LADCP (uplooker)","WHM300kHZ","12734","","|FIRST_STA|-|LAST_STA|",":term:`LDEO`"
"LADCP (downlooker)","WHM300kHZ","3441","","|FIRST_STA|-204",":term:`LDEO`"
"LADCP (downlooker)","WHM300kHZ","24477","","186-191(*)",":term:`LDEO`"
"Chipods","Chipod","2014 Ti44-8","–","|FIRST_STA|-162",":term:`OSU`"
"Chipods","Chipod","2013 TI44-12","–","|FIRST_STA|-162",":term:`OSU`"
"Chipods","Chipod","2032 Ti44-15","–","|FIRST_STA|-162",":term:`OSU`"
"Chipods","Chipod","2025 Ti44-7","–","163-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2017 TI44-6","–","163-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2027 Ti44-?","–","163-|LAST_STA|",":term:`OSU`"
